Dates,03-08-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
6 Iron,59,110.3,L3.3,19.0,6125,R10.3,6026,R1096,30.4,161.5,164.8,R4.8,46.1,L5.8,L2.7,-0.7,25.7
6 Iron,60,99.4,L1.9,24.2,6257,R7.7,6201,R839,30.5,139.5,141.5,R3.9,48.5,L2.4,L1.8,2.5,31.5
6 Iron,61,102.2,L5.9,23.2,4723,L7.4,4684,L609,30.9,151.8,156.1,L22.3,46.9,L2.3,L6.8,2.1,30.4
6 Iron,62,112.2,L11.2,17.0,5538,L10.2,5451,L977,28.1,168.2,173.7,L42.9,42.9,L2.8,L13.4,0.1,22.9
6 Iron,63,109.0,L4.0,23.5,6936,R6.5,6892,R781,36.3,153.5,154.9,L1.2,50.5,L4.2,L3.9,0.5,31.1
6 Iron,64,114.4,L5.8,18.8,6243,R7.3,6192,R790,33.0,168.5,171.2,L5.3,47.5,L6.4,L5.7,0.3,25.2
6 Iron,65,105.1,L2.3,23.7,7571,R12.7,7385,R1664,33.2,144.6,145.9,R10.1,49.6,L5.1,L1.6,-0.1,31.6
6 Iron,66,105.3,L6.5,22.5,5181,L9.5,5109,L859,32.2,155.6,159.3,L27.3,47.8,L1.7,L7.7,0.7,29.8
6 Iron,67,103.7,L9.1,22.3,4199,L11.9,4109,L864,29.8,157.2,163.6,L35.5,44.1,L3.2,L10.6,0.9,29.4
6 Iron,68,103.1,L3.0,19.3,5206,L4.3,5192,L391,26.1,152.5,158.5,L12.1,42.3,R0.9,L4.0,-1.3,26.2
6 Iron,69,104.0,L5.3,10.1,3546,L16.0,3409,L975,10.5,136.7,160.3,L22.3,23.3,R6.5,L8.3,0.7,13.5
6 Iron,70,111.1,R0.1,22.4,7160,R6.9,7109,R855,36.2,156.8,158.0,R9.8,50.3,L1.1,R0.4,-0.9,30.2
6 Iron,71,112.3,L1.6,22.7,5920,R3.6,5908,R372,38.2,164.7,166.7,R1.0,50.7,L2.8,L1.3,-1.6,30.7
6 Iron,72,105.2,L2.4,19.1,5478,L1.9,5475,L177,27.2,155.8,161.1,L8.0,43.1,L1.0,L2.7,-3.5,26.4
